T_subtype,TIL dysfunction score
Treg,1.79487641047557
Naive/CM T,0.25901866278403
Naive/CM T,0.312120838178724
Naive/CM T,0.692889144338294
Naive/CM T,-0.231901149333069
Naive/CM T,-0.672196676564771
Naive/CM T,-0.187976641920437
Cytotoxic CD8T,0.546622482633153
Naive/CM T,0.933303523853347
gdT,0.616285967944456
Naive/CM T,0.0388858330090167
gdT,-0.68971140070479
Naive/CM T,1.28235368278347
gdT,0.250699335626517
Naive/CM T,-0.83669582633085
gdT,-0.526194651417534
Cytotoxic CD8T,0.612840333902306
Naive/CM T,1.31578703914585
Naive/CM T,1.54227432186457
Naive/CM T,1.13672130791715
gdT,2.01990998841407
Naive/CM T,1.12581299693757
Naive/CM T,-1.31983521927234
Naive/CM T,-0.646208342067619
Naive/CM T,-0.0600788789874151
Naive/CM T,1.53135647279767
gdT,-0.547069245110606
Naive/CM T,0.678914990199964
Proliferating CD8T,-0.0285118565414892
Naive/CM T,-0.810112531795058
Cytotoxic CD8T,1.40490186206046
Naive/CM T,-0.186104390048241
Naive/CM T,0.583618182880597
gdT,-0.721409405848776
Cytotoxic CD8T,1.06480917954125
gdT,0.258422555849533
Naive/CM T,-0.215623562566153
Naive/CM T,0.752020902411882
Naive/CM T,0.403579444428243
Treg,1.18532389129359
Naive/CM T,0.188141203833936
Naive/CM T,-0.0672177965998901
Cytotoxic CD8T,1.45137440343403
Naive/CM T,-0.851573733732345
gdT,0.386445393606001
gdT,-0.979172699211179
Naive/CM T,-0.816377341369241
Cytotoxic CD8T,0.99389384312055
gdT,1.07187178775069
gdT,-0.389428472754147
Naive/CM T,-0.428831773210865
Cytotoxic CD8T,0.540393051082941
Proliferating CD8T,0.221014459675848
Cytotoxic CD8T,1.67106060380243
gdT,0.120749903027653
Naive/CM T,1.01433926556125
Naive/CM T,-0.476765911876525
Naive/CM T,-0.654441478640534
gdT,-0.601307717068586
Cytotoxic CD8T,-1.23089434010113
Naive/CM T,-0.849703946022856
Naive/CM T,0.00346382845447812
Cytotoxic CD8T,1.08224274929011
Cytotoxic CD8T,1.13918915225049
Naive/CM T,-0.387969521757076
Naive/CM T,-0.838649412374247
gdT,-0.273397990395436
gdT,0.64084621614936
gdT,-1.1298584810355
Naive/CM T,-1.25477461650222
gdT,0.89462416301402
Naive/CM T,-0.257949052518988
Naive/CM T,-0.114964648482663
gdT,-0.321285489749706
gdT,-1.07801475820615
Naive/CM T,-0.926015158956365
Naive/CM T,0.818875503002379
Naive/CM T,-0.612114527932853
Naive/CM T,1.29873906700774
Naive/CM T,-0.803649843201156
Naive/CM T,-0.731715121010477
Naive/CM T,-0.425795768162496
Cytotoxic CD8T,0.898729821676263
Naive/CM T,-0.232536420761656
gdT,-0.277568013337063
Cytotoxic CD8T,-0.0461065952335972
gdT,-0.4660329391958
gdT,-0.590965010231023
gdT,-0.298064962754037
gdT,-0.641880005829094
Naive/CM T,-1.44768337652328
Naive/CM T,-0.0464846656051967
Naive/CM T,-0.677134216797864
Cytotoxic CD8T,1.75842528044127
Naive/CM T,-0.573784082854945
gdT,-0.460460858751637
Cytotoxic CD8T,-0.446545108932269
gdT,-0.42869350454856
Naive/CM T,1.18189527553265
Naive/CM T,0.642073305330283
Cytotoxic CD8T,0.508381247436437
Naive/CM T,-0.022744316547332
Cytotoxic CD8T,1.28901813767845
Naive/CM T,0.674377949494892
Cytotoxic CD8T,1.57396779722357
Naive/CM T,-0.707343971166415
Cytotoxic CD8T,2.58401489795472
Cytotoxic CD8T,-0.332541530614507
Naive/CM T,0.398734113546725
Naive/CM T,0.711146426587309
Cytotoxic CD8T,1.04308302424338
Cytotoxic CD8T,1.03417795623499
Cytotoxic CD8T,0.797172493964874
Naive/CM T,1.30476163792895
Naive/CM T,0.168156159436559
Naive/CM T,1.90383464337403
Cytotoxic CD8T,-1.12167021453674
Naive/CM T,0.216851569801421
Naive/CM T,0.441558751865034
Cytotoxic CD8T,1.23907437368208
Cytotoxic CD8T,0.861487076096
Cytotoxic CD8T,-0.437321836970237
gdT,1.12871613882224
Naive/CM T,-0.576812637280712
Naive/CM T,0.241618037475843
Naive/CM T,-0.0194996678551962
Naive/CM T,-0.348820529074799
Naive/CM T,0.0104827706119894
Naive/CM T,0.13734204774175
Naive/CM T,-0.809540143392723
Naive/CM T,-0.72110630005829
Cytotoxic CD8T,1.34475335140644
Naive/CM T,0.290745153823648
Naive/CM T,0.614816548708377
Naive/CM T,0.50234014875373
Naive/CM T,-1.12955423439783
Naive/CM T,2.76362674920133
Naive/CM T,0.257304932887996
Naive/CM T,-0.278046626117214
Naive/CM T,0.365723490967054
Cytotoxic CD8T,0.97975529407934
Naive/CM T,0.118367748247056
Naive/CM T,-0.211693615204352
Naive/CM T,-0.0128246768416444
Naive/CM T,-0.662511423660719
Naive/CM T,-0.105992337361954
Naive/CM T,-0.846374452576156
Cytotoxic CD8T,0.335750520691391
Naive/CM T,-0.399105277676411
Naive/CM T,0.0653630620245366
Naive/CM T,-0.285632627458955
Naive/CM T,1.28966799111665
Naive/CM T,0.403598452051228
Naive/CM T,0.083967214910979
Naive/CM T,1.00268731846449
Naive/CM T,-0.219274434848433
Cytotoxic CD8T,-1.15201769621125
Naive/CM T,0.388974273767666
Cytotoxic CD8T,0.80184975772613
Naive/CM T,0.0101703162593183
Naive/CM T,1.0563687344014
Naive/CM T,1.0031457004453
Naive/CM T,-0.254202274809091
Cytotoxic CD8T,0.362626885594911
Naive/CM T,-0.438839337790491
Naive/CM T,-0.0227130475894424
Naive/CM T,-1.01693516738655
Naive/CM T,-0.444654550747269
Naive/CM T,1.22823785240167
Naive/CM T,-0.218938030433789
Cytotoxic CD8T,-0.0860367600895972
Naive/CM T,-0.0968980943761803
Naive/CM T,0.389971235085743
gdT,-0.351281404663257
Naive/CM T,-0.0641389514796744
Cytotoxic CD8T,0.803418388662412
Naive/CM T,-0.679630841059614
Naive/CM T,0.74592359743125
Naive/CM T,-0.052157605005201
Naive/CM T,-0.707691198675627
Naive/CM T,-0.893600391283095
Naive/CM T,1.02729627597155
Naive/CM T,-0.571230684727997
Naive/CM T,1.83431226355328
Naive/CM T,-0.18570643634003
Naive/CM T,0.575294966425502
Cytotoxic CD8T,0.52836966833823
Naive/CM T,-0.447875791069821
Cytotoxic CD8T,0.121544555008117
Cytotoxic CD8T,1.08696876805462
Cytotoxic CD8T,-0.848418357424369
Naive/CM T,0.274585098175199
Naive/CM T,0.792653252492075
Naive/CM T,-0.404294124869413
Naive/CM T,0.318636695291896
Naive/CM T,0.986611060477882
Naive/CM T,-0.594630504175338
gdT,-0.671700261864047
Naive/CM T,0.214040381207778
Naive/CM T,0.148101197740744
Naive/CM T,0.815063168752185
gdT,-0.547423376845506
gdT,1.66065616352277
Naive/CM T,-0.1811815353243
Naive/CM T,-0.367716194459298
Naive/CM T,-0.321743633815988
Naive/CM T,-0.40661980385004
gdT,-0.492734787748093
Naive/CM T,0.195532126020091
Cytotoxic CD8T,2.03627171694518
Cytotoxic CD8T,-0.0878657232799355
Proliferating CD8T,2.20517770768556
Cytotoxic CD8T,-0.279776453551815
Cytotoxic CD8T,0.693225943932993
Naive/CM T,-0.200389301886098
Cytotoxic CD8T,0.748102917983718
Naive/CM T,-0.672518116559169
Naive/CM T,0.256469296434548
Naive/CM T,0.788280757234666
Naive/CM T,0.734638173786832
Cytotoxic CD8T,1.56817467268123
Naive/CM T,-0.456547293552132
Naive/CM T,-1.04411020205002
Naive/CM T,-0.541087754097011
Naive/CM T,-0.83808768812076
gdT,2.19551634570088
gdT,0.181386234560342
Naive/CM T,2.0701912765019
