T_subtype,Cytotoxicity score
Naive/CM T,0.220169439727877
gdT,1.56975570725805
gdT,0.0822694890293074
Cytotoxic CD8T,0.992337438795301
Naive/CM T,0.101873400770587
Naive/CM T,0.40002621250388
gdT,0.79444290973522
Naive/CM T,0.679143403783256
Naive/CM T,0.0355171539165355
Naive/CM T,0.236142055487927
Cytotoxic CD8T,1.00142923402197
Naive/CM T,-0.141110040523387
Naive/CM T,-0.173118807651378
Naive/CM T,0.205228545047618
Naive/CM T,-0.585724293449778
Cytotoxic CD8T,0.471712996930251
Naive/CM T,-0.338892899913552
Naive/CM T,0.210878278002327
Cytotoxic CD8T,0.169922899316858
Naive/CM T,0.848609911070929
Naive/CM T,0.102460273989924
Cytotoxic CD8T,1.04106205775413
Naive/CM T,0.364180985792183
gdT,0.740719687791518
Naive/CM T,0.822875992751415
Naive/CM T,0.264498154322306
Naive/CM T,0.470052165749632
Cytotoxic CD8T,0.865564219745588
Naive/CM T,-0.0158528251412473
Naive/CM T,-0.0187754719345658
Cytotoxic CD8T,-0.929050859109855
Naive/CM T,-0.071405871414844
Naive/CM T,-0.961839078385152
Naive/CM T,-0.949903717747441
Naive/CM T,0.315932285638503
Naive/CM T,0.587813423003679
Naive/CM T,-0.0998929341634113
Naive/CM T,-0.219313809901108
Naive/CM T,1.25742977931175
gdT,1.80367938677469
Cytotoxic CD8T,2.56250659919079
Naive/CM T,0.0104023674387989
gdT,0.280459486407998
Naive/CM T,0.481459823655493
Naive/CM T,2.09750281145543
Proliferating CD8T,0.511654818499529
Naive/CM T,0.968297387346809
Cytotoxic CD8T,2.40929861421938
Cytotoxic CD8T,2.34641932263786
Cytotoxic CD8T,0.528308223795007
Naive/CM T,0.456555292930132
Naive/CM T,-0.146087867242318
Naive/CM T,0.153037736445297
Naive/CM T,-0.46500254266056
Cytotoxic CD8T,0.50246430620735
Naive/CM T,-0.960669654387014
Naive/CM T,-0.109429346190558
Naive/CM T,0.512497257303308
Naive/CM T,0.259172508746017
Cytotoxic CD8T,1.33182832635479
Naive/CM T,-0.916922404442304
Naive/CM T,-0.415964108926278
Naive/CM T,-0.769042369760113
Naive/CM T,-0.465266314553625
Naive/CM T,1.36024580178437
gdT,0.279769903347816
Naive/CM T,-0.52087836795383
Naive/CM T,0.514089160495334
Naive/CM T,-0.355462462813765
Naive/CM T,0.446772601869371
Naive/CM T,0.499110395525708
Naive/CM T,1.52964729438593
Naive/CM T,0.180080045888453
Naive/CM T,0.606314662062091
Cytotoxic CD8T,0.705377054803165
Naive/CM T,0.407654123541749
Naive/CM T,0.449749337302313
Naive/CM T,0.614829894937114
Naive/CM T,-0.0027203883653805702
Naive/CM T,0.777624448140462
Naive/CM T,-0.0833275583055284
gdT,0.778046001622706
Cytotoxic CD8T,1.38865661621093
Naive/CM T,-0.416294078768035
gdT,1.6731186972724
Naive/CM T,0.137705863257985
Cytotoxic CD8T,0.749181735662766
Naive/CM T,-0.203118241863486
Treg,0.291330472922619
Naive/CM T,0.00190735157625177
Naive/CM T,0.295360953719527
Naive/CM T,0.539645333348968
Naive/CM T,-0.153763694527708
Naive/CM T,0.225031305242467
Naive/CM T,0.229377647976816
Cytotoxic CD8T,0.530015165423169
Naive/CM T,0.507113683370896
gdT,0.834870359044016
Naive/CM T,-0.204609563321243
gdT,1.13113312662383
Naive/CM T,-0.457305802975172
gdT,0.990255915088418
Naive/CM T,0.301282633969813
gdT,0.950209876637399
Cytotoxic CD8T,1.41483496736597
Naive/CM T,0.0481997904954132
Naive/CM T,0.0170940425660874
Naive/CM T,-0.417949020126719
gdT,1.50432439792303
Naive/CM T,0.453382668671784
Naive/CM T,-0.306648729759969
Naive/CM T,-0.189824472238988
Naive/CM T,-0.643272080539185
Naive/CM T,0.127624143788843
gdT,1.39853709126696
Naive/CM T,-1.06501682305041
Proliferating CD8T,1.23459526638925
Naive/CM T,0.272738740767961
Cytotoxic CD8T,1.45578104772685
Naive/CM T,-0.148277347470507
Naive/CM T,0.068295896789174
gdT,1.20193906772283
Cytotoxic CD8T,0.863383013525126
gdT,0.942948317822115
Naive/CM T,-0.704049990500932
Naive/CM T,-0.235481016429853
Naive/CM T,1.12010941682038
Treg,-0.5429310872231
Naive/CM T,-1.01773021692111
Naive/CM T,-0.0248959417696352
Cytotoxic CD8T,0.742740645820712
Naive/CM T,0.524555606606566
gdT,0.858339542224083
gdT,1.11998686378384
Naive/CM T,1.24436241609078
Cytotoxic CD8T,1.88286621776627
gdT,1.4242941626796
gdT,0.521818870379601
Naive/CM T,-0.261569738388061
Cytotoxic CD8T,0.494958129929907
Proliferating CD8T,0.290153953764173
Cytotoxic CD8T,-0.229863493530838
gdT,0.54366112049715
Naive/CM T,1.02095192450064
Naive/CM T,-0.00601990870487534
Naive/CM T,1.49984911341726
gdT,-0.333142882511939
Cytotoxic CD8T,-0.138508514121726
Naive/CM T,-0.620924924626762
Naive/CM T,0.683590226703219
Cytotoxic CD8T,0.787097248030297
Cytotoxic CD8T,0.881234569314085
Naive/CM T,0.159598232787332
Naive/CM T,-0.380613123929058
gdT,0.673848576015896
gdT,0.486509590973089
gdT,0.253734894740728
Naive/CM T,-0.717066867851916
gdT,2.18425922040586
Naive/CM T,0.0256879785914478
Naive/CM T,0.502027014155446
gdT,0.336642861366272
gdT,0.8594807813197
Naive/CM T,0.33345004952984
Naive/CM T,0.239451293592099
Naive/CM T,-0.324406191154762
Naive/CM T,-0.206110000610351
Naive/CM T,-0.107051269507702
Naive/CM T,0.469589099471951
Naive/CM T,0.105933850194201
Cytotoxic CD8T,-0.15568525702865
Naive/CM T,0.242354139869595
gdT,-0.279199632597558
Cytotoxic CD8T,0.0902420208777909
gdT,1.01092213760187
gdT,1.12463841909243
gdT,1.06545100094359
gdT,1.22660402309747
Naive/CM T,-0.117847051149533
Naive/CM T,-0.368617758338833
Naive/CM T,0.55544493522173
Cytotoxic CD8T,0.569428382096467
Naive/CM T,-0.0175091984831257
gdT,0.942148641303733
Cytotoxic CD8T,1.53784699204527
gdT,-0.451925276238241
Naive/CM T,-0.080096215377619
Naive/CM T,0.372699581546547
Cytotoxic CD8T,0.162019064396987
Naive/CM T,0.552871091866199
Cytotoxic CD8T,-0.475330629466492
Naive/CM T,0.525267971886529
Cytotoxic CD8T,0.14575030774246
Naive/CM T,-0.0508243684415465
Cytotoxic CD8T,0.570165460492357
Cytotoxic CD8T,-0.258779184317883
Naive/CM T,-0.0813318049466167
Naive/CM T,0.288822453698994
Cytotoxic CD8T,0.314722832338309
Cytotoxic CD8T,0.0017917097350697
Cytotoxic CD8T,0.20578376746472
Naive/CM T,0.456993129518296
Naive/CM T,-0.0849024587207369
Naive/CM T,-0.446291686576089
Cytotoxic CD8T,0.18871846905461
Naive/CM T,1.58778128800568
Naive/CM T,0.143926929544519
Cytotoxic CD8T,-0.770837502715028
Cytotoxic CD8T,-0.528928814110932
Cytotoxic CD8T,0.521913131078084
gdT,-0.0575854057147178
Naive/CM T,0.147705619717821
Naive/CM T,0.882356902699411
Naive/CM T,0.664774875582
Naive/CM T,-0.703122239053985
Naive/CM T,-0.0958522190282373
Naive/CM T,0.1578279071384
Naive/CM T,-0.0697582135965795
Naive/CM T,0.519536174373862
Cytotoxic CD8T,-0.0150409775015749
Naive/CM T,-0.131051428524064
Naive/CM T,0.609008809666574
