source,neighbor,obs,exp_perm,log2_oe,z,p,q,significant,low_expected,sample
T,Schwann,73,214.3312,-1.54096019531905,-9.9009913252791,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
T,Neuroblast,7185,14337.8286,-0.996666328496477,-91.0492201218986,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
T,Macrophage,6363,5252.922,0.276539053364241,17.4234242125991,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
T,B,302,79.6906,1.90884527113288,25.1846189560515,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
T,T,4959,1145.261,2.11340454202034,86.5105197819738,0.0003999200159968,0.000426001756170504,True,False,Patient1_PT
Endothelial,Endothelial,52241,7473.2582,2.80520782124451,406.113921823724,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,Fibroblast,12715,6302.074,1.0125174159671,86.7246314855769,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,Schwann,882,384.786,1.19461264828934,25.9083792851001,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,Neuroblast,19352,73855.914,-1.93217576027958,-342.897982422548,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,Macrophage,12376,7730.2042,0.678896620550814,56.147037683325,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,B,2460,3641.3306,-0.565617218207366,-20.391674383156,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Endothelial,T,8538,9176.433,-0.104023550835766,-7.14643699434269,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,Endothelial,14040,6302.5466,1.1554100142272,105.810657706913,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,Fibroblast,37907,5313.5906,2.83447187720639,342.46365860957,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,Schwann,1173,324.471,1.85083150071263,48.502644521872,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,Neuroblast,13470,62268.0156,-2.20865752094769,-338.253582485832,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,Macrophage,11445,6515.8332,0.8126005376058,63.7944516885284,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,B,3645,3070.4624,0.247388839043979,10.9141116624071,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Fibroblast,T,9850,7735.0806,0.348667357718303,25.7464779430626,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,Endothelial,1003,384.5424,1.38079783501884,32.4851262789035,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,Fibroblast,1083,324.234,1.73681476677577,44.3077137297037,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,Schwann,409,19.7072,4.30741951717328,65.4723459373047,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,Neuroblast,1983,3799.7274,-0.937863528606531,-52.0176088777895,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,Macrophage,567,397.8908,0.509897080176619,8.85570470167772,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,B,125,187.4,-0.580375231225504,-4.58496431906839,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Schwann,T,416,472.4982,-0.183311557639329,-2.76326658262579,0.0047990401919616,0.0047990401919616,True,False,Patient1_DX
Neuroblast,Endothelial,19708,73853.2164,-1.90582570959857,-271.157258546846,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Neuroblast,Fibroblast,12544,62268.169,-2.3114055554156,-277.906802628576,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Neuroblast,Schwann,1927,3799.5128,-0.979089041752422,-41.4325288089909,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Neuroblast,Neuroblast,972798,729686.6666,0.414862676645875,566.284667217758,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Neuroblast,Macrophage,31251,76373.7192,-1.28914665141234,-223.149402296122,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Neuroblast,B,8920,35975.2536,-2.01176761554351,-190.921476081645,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Neuroblast,T,25472,90663.4624,-1.83156829240325,-297.878554399247,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,Endothelial,12799,7730.42,0.727338492409494,61.3569056179872,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,Fibroblast,11146,6515.6122,0.774461440212106,59.5051075806528,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,Schwann,576,397.779,0.532981880532756,9.31302135620603,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,Neuroblast,32015,76373.2938,-1.25429406266085,-272.262971625734,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,Macrophage,33554,7994.4014,2.06928538762418,224.88023916785,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,B,6289,3764.6154,0.740174358853702,42.266089408364,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
Macrophage,T,15887,9489.8782,0.743324035497045,71.5090336632578,0.0003999200159968,0.000416937889017941,True,False,Patient1_DX
