id,umap1,umap2,T_subtype
1084_Patient1_0DPHBP,2.3527927,-0.5078995,Naive/CM T
1099_Patient1_0DPHBP,2.1849186,5.8768477,Naive/CM T
1100_Patient1_0DPHBP,2.0880663,5.291504,Naive/CM T
1104_Patient1_0DPHBP,1.7197726,3.4629438,Proliferating T
1108_Patient1_0DPHBP,2.145695,4.592297,gdT
1109_Patient1_0DPHBP,3.2887392,3.5891802,gdT
1110_Patient1_0DPHBP,3.6763995,0.74702287,gdT
1116_Patient1_0DPHBP,3.6484373,3.7372863,Naive/CM T
1117_Patient1_0DPHBP,5.02261,3.7981505,Naive/CM T
1118_Patient1_0DPHBP,0.41961938,6.7390585,gdT
1122_Patient1_0DPHBP,4.629521,3.7830217,Naive/CM T
1123_Patient1_0DPHBP,4.481575,5.6552505,Naive/CM T
1125_Patient1_0DPHBP,5.1724277,3.0482733,Naive/CM T
1130_Patient1_0DPHBP,5.3712473,2.9655595,Naive/CM T
1171_Patient1_0DPHBP,4.926733,2.0130668,Naive/CM T
1172_Patient1_0DPHBP,3.5404253,5.6620865,Naive/CM T
1175_Patient1_0DPHBP,5.0858493,0.79058784,Naive/CM T
1176_Patient1_0DPHBP,7.08,1.331923,Naive/CM T
1178_Patient1_0DPHBP,0.84675187,5.1350203,gdT
1181_Patient1_0DPHBP,1.6613958,5.378814,gdT
1186_Patient1_0DPHBP,5.4252396,1.6576462,Naive/CM T
1188_Patient1_0DPHBP,6.5036716,0.7643448,Naive/CM T
1190_Patient1_0DPHBP,1.5823895,5.56814,gdT
1218_Patient1_0DPHBP,-0.7553643,1.6436507,gdT
1244_Patient1_0DPHBP,7.113678,0.727353,Naive/CM T
1246_Patient1_0DPHBP,1.5737286,6.3877573,Naive/CM T
1249_Patient1_0DPHBP,1.9072527,5.269571,Naive/CM T
1307_Patient1_0DPHBP,1.4849725,4.3907743,gdT
1312_Patient1_0DPHBP,0.94330776,-0.60165393,gdT
1314_Patient1_0DPHBP,5.563824,-0.12613094,Naive/CM T
1315_Patient1_0DPHBP,5.5261216,-0.08127424,Naive/CM T
1318_Patient1_0DPHBP,3.9631217,1.0803561,Cytotoxic T
1320_Patient1_0DPHBP,2.0967329,-0.6704514,Cytotoxic T
1326_Patient1_0DPHBP,3.1503086,4.380464,Proliferating T
1330_Patient1_0DPHBP,1.7408645,5.781093,Naive/CM T
1349_Patient1_0DPHBP,4.3931675,2.9284773,Naive/CM T
1380_Patient1_0DPHBP,1.6792843,5.210403,gdT
1393_Patient1_0DPHBP,3.9592385,0.96624684,Naive/CM T
1400_Patient1_0DPHBP,2.9542093,0.72985744,gdT
1419_Patient1_0DPHBP,2.4145536,0.57824296,Cytotoxic T
1422_Patient1_0DPHBP,1.8228273,3.0286434,Cytotoxic T
1428_Patient1_0DPHBP,5.934993,1.4041438,Naive/CM T
1444_Patient1_0DPHBP,3.673788,-0.7182469,Naive/CM T
1458_Patient1_0DPHBP,0.027484175,3.6775148,gdT
1477_Patient1_0DPHBP,1.7489728,0.24185465,Cytotoxic T
1479_Patient1_0DPHBP,1.6559526,5.4234467,gdT
1481_Patient1_0DPHBP,2.4154968,1.216459,gdT
1482_Patient1_0DPHBP,1.9905584,6.441175,Naive/CM T
1491_Patient1_0DPHBP,3.697441,5.0233474,Naive/CM T
1493_Patient1_0DPHBP,-1.0464227,1.4364883,gdT
1500_Patient1_0DPHBP,2.459904,2.2245867,Cytotoxic T
1507_Patient1_0DPHBP,3.1659937,5.9965906,Naive/CM T
1509_Patient1_0DPHBP,1.8105162,-0.6552233,Cytotoxic T
1515_Patient1_0DPHBP,4.1276236,6.043454,Naive/CM T
1523_Patient1_0DPHBP,3.637245,1.8501395,Cytotoxic T
1530_Patient1_0DPHBP,2.5615604,4.4644513,Naive/CM T
1531_Patient1_0DPHBP,1.9975305,6.3749404,Naive/CM T
1532_Patient1_0DPHBP,2.5285525,4.4141498,Cytotoxic T
1536_Patient1_0DPHBP,6.1134024,1.8694185,Naive/CM T
1549_Patient1_0DPHBP,3.6977916,2.6012385,Cytotoxic T
1550_Patient1_0DPHBP,4.6554193,2.2599306,Naive/CM T
1554_Patient1_0DPHBP,4.09917,0.46505925,Naive/CM T
1555_Patient1_0DPHBP,2.211035,5.1972685,Naive/CM T
1556_Patient1_0DPHBP,5.347663,0.3858309,Naive/CM T
1565_Patient1_0DPHBP,4.620947,1.717307,Naive/CM T
1567_Patient1_0DPHBP,1.0176166,4.3468175,gdT
1575_Patient1_0DPHBP,3.5323148,6.1915493,Treg
1577_Patient1_0DPHBP,0.8461934,5.24092,gdT
1585_Patient1_0DPHBP,1.32223,4.869178,gdT
1588_Patient1_0DPHBP,5.1224256,2.5787106,Naive/CM T
1591_Patient1_0DPHBP,2.211676,1.2815093,gdT
1592_Patient1_0DPHBP,3.7784643,3.1212115,Cytotoxic T
1596_Patient1_0DPHBP,3.0392218,5.595713,Treg
1599_Patient1_0DPHBP,1.0506479,4.030634,gdT
1605_Patient1_0DPHBP,0.9556315,5.1576643,gdT
1616_Patient1_0DPHBP,3.8265312,5.217533,Naive/CM T
1617_Patient1_0DPHBP,1.5386152,-0.37002763,gdT
1619_Patient1_0DPHBP,0.18918297,3.7383037,gdT
1620_Patient1_0DPHBP,1.4957676,3.818248,gdT
1629_Patient1_0DPHBP,2.6493459,1.632888,Cytotoxic T
1638_Patient1_0DPHBP,0.9189345,4.765807,gdT
1639_Patient1_0DPHBP,1.0175982,-0.5266578,Cytotoxic T
1640_Patient1_0DPHBP,1.2777381,5.2489543,gdT
1641_Patient1_0DPHBP,3.2881784,6.2590227,Naive/CM T
1643_Patient1_0DPHBP,1.2626371,5.53064,gdT
1644_Patient1_0DPHBP,2.3206334,5.2856326,Naive/CM T
1645_Patient1_0DPHBP,5.592182,2.2495692,Naive/CM T
1647_Patient1_0DPHBP,1.7468014,6.4310794,Naive/CM T
1650_Patient1_0DPHBP,5.5863166,2.092822,Naive/CM T
1652_Patient1_0DPHBP,6.1253176,0.8106316,Naive/CM T
1653_Patient1_0DPHBP,3.3920207,-0.26956075,Naive/CM T
1654_Patient1_0DPHBP,3.188217,1.8639451,Cytotoxic T
1655_Patient1_0DPHBP,0.5484587,1.67511,Cytotoxic T
1657_Patient1_0DPHBP,0.37547597,5.67498,gdT
1673_Patient1_0DPHBP,2.860129,4.2204304,Proliferating T
1674_Patient1_0DPHBP,5.8299913,2.2021768,Naive/CM T
1676_Patient1_0DPHBP,6.9383135,1.5620338,Naive/CM T
1693_Patient1_0DPHBP,3.3442929,2.145599,Cytotoxic T
1695_Patient1_0DPHBP,6.532187,2.2483091,Naive/CM T
1696_Patient1_0DPHBP,4.1629815,2.140307,Cytotoxic T
1706_Patient1_0DPHBP,0.92237794,6.1135273,Cytotoxic T
1707_Patient1_0DPHBP,1.3965129,4.7665763,gdT
1713_Patient1_0DPHBP,2.740289,1.4187405,Cytotoxic T
1719_Patient1_0DPHBP,3.909826,6.4950643,Naive/CM T
1724_Patient1_0DPHBP,1.2420329,-0.14529714,gdT
1731_Patient1_0DPHBP,1.3511726,5.1456995,gdT
1734_Patient1_0DPHBP,0.7984531,0.37450597,Cytotoxic T
1735_Patient1_0DPHBP,6.588208,1.1769583,Naive/CM T
1741_Patient1_0DPHBP,6.113559,1.7177024,Naive/CM T
1742_Patient1_0DPHBP,1.0820835,4.247834,gdT
1744_Patient1_0DPHBP,1.5006152,4.7632856,Naive/CM T
1747_Patient1_0DPHBP,5.3974886,2.6189375,Naive/CM T
1756_Patient1_0DPHBP,4.820436,2.2240937,Naive/CM T
1757_Patient1_0DPHBP,2.942018,1.9964857,Cytotoxic T
1758_Patient1_0DPHBP,3.8223085,4.9285946,Naive/CM T
1763_Patient1_0DPHBP,6.723739,3.3678064,Naive/CM T
1764_Patient1_0DPHBP,6.4945087,2.6364057,Naive/CM T
1766_Patient1_0DPHBP,5.136151,2.1416416,Naive/CM T
1767_Patient1_0DPHBP,3.8104992,1.7878096,Cytotoxic T
1768_Patient1_0DPHBP,4.784883,1.9716494,Naive/CM T
1770_Patient1_0DPHBP,2.1966376,5.2959156,Naive/CM T
1779_Patient1_0DPHBP,4.310651,1.8492975,Cytotoxic T
1792_Patient1_0DPHBP,6.973263,1.0050231,Naive/CM T
1808_Patient1_0DPHBP,4.0101953,6.038215,Naive/CM T
1827_Patient1_0DPHBP,0.85316926,6.3628106,Cytotoxic T
1843_Patient1_0DPHBP,7.4033804,1.4224831,Naive/CM T
1851_Patient1_0DPHBP,3.2843804,0.40942588,gdT
1852_Patient1_0DPHBP,6.251361,1.0686554,Naive/CM T
1855_Patient1_0DPHBP,5.9917336,1.6225601,Naive/CM T
1858_Patient1_0DPHBP,4.266317,0.6766486,Naive/CM T
1862_Patient1_0DPHBP,3.199666,2.8255572,Cytotoxic T
1863_Patient1_0DPHBP,2.2351665,4.2922196,Naive/CM T
1864_Patient1_0DPHBP,3.0634997,7.7299623,Naive/CM T
1865_Patient1_0DPHBP,3.5847108,4.0753646,Cytotoxic T
1867_Patient1_0DPHBP,8.147813,1.3608093,Naive/CM T
1869_Patient1_0DPHBP,2.6407778,6.9181266,Naive/CM T
1871_Patient1_0DPHBP,4.7566104,3.8493824,Naive/CM T
1873_Patient1_0DPHBP,5.309068,2.9505901,Naive/CM T
1881_Patient1_0DPHBP,6.5311704,1.1341937,Naive/CM T
1889_Patient1_0DPHBP,4.640263,6.377658,Naive/CM T
1896_Patient1_0DPHBP,7.555789,1.8533292,Naive/CM T
1897_Patient1_0DPHBP,7.901146,1.7165879,Naive/CM T
1901_Patient1_0DPHBP,2.888847,-0.31371275,gdT
