T_subtype,Exhaustion score
Naive/CM T,0.225654160255609
gdT,0.18704381898392
Naive/CM T,-0.784776778110238
gdT,-0.385144651546034
Cytotoxic CD8T,0.202451242846111
Naive/CM T,0.915539291736691
Naive/CM T,0.483840179443359
Naive/CM T,0.721445209591887
gdT,0.663699291140534
Naive/CM T,0.554238242215888
Naive/CM T,-0.708442965662756
Naive/CM T,-0.214183117178983
Naive/CM T,-0.141055333337118
Naive/CM T,0.312696703533793
gdT,0.230192640437636
Naive/CM T,0.366729754070902
Proliferating CD8T,1.07424052393713
Naive/CM T,-0.474535212849461
Cytotoxic CD8T,1.35880592523619
Naive/CM T,-0.198763289340706
Naive/CM T,0.00342727838560596
gdT,-0.120232673467591
Cytotoxic CD8T,1.10665025223133
gdT,-0.18196243108705
Naive/CM T,-0.0848555347531341
Naive/CM T,0.217860579379769
Naive/CM T,0.066675347616506
Treg,0.914738709205804
Naive/CM T,-0.392474709444267
Naive/CM T,-0.0763926093522893
Cytotoxic CD8T,0.798223220470339
Naive/CM T,-0.029490693558094
gdT,0.0402279379201491
gdT,-0.570836492139239
Naive/CM T,-0.354666476582371
Cytotoxic CD8T,0.297437410576399
gdT,1.2388249277514
gdT,-0.167719989155614
Naive/CM T,-0.499713429295739
Cytotoxic CD8T,0.416007321379905
Proliferating CD8T,0.719896410565043
Cytotoxic CD8T,1.44033645275027
gdT,0.611792361237281
Naive/CM T,0.135003342739371
Naive/CM T,-0.65209418629491
Naive/CM T,0.0721041568489961
gdT,0.0874207855934321
Cytotoxic CD8T,-0.666778417188067
Naive/CM T,-0.433049543513808
Naive/CM T,-0.263974627117778
Cytotoxic CD8T,0.81070675872093
Cytotoxic CD8T,0.621400142935819
Naive/CM T,-0.181876100052234
Naive/CM T,-0.444272517714389
gdT,-0.421292940184127
gdT,0.374623711164607
gdT,-0.345942741216615
Naive/CM T,-0.0352412733920783
gdT,0.656173794768577
Naive/CM T,0.100007641814475
Naive/CM T,-0.199316722071448
gdT,0.49042867971021
gdT,-0.435708621712618
Naive/CM T,-0.225780274147211
Naive/CM T,0.0779941257210664
Naive/CM T,0.220267113973928
Naive/CM T,0.156891600143077
Naive/CM T,-0.326339439569517
Naive/CM T,-0.561666019350983
Naive/CM T,-0.483122553270916
Cytotoxic CD8T,-0.100012547692587
Naive/CM T,-0.264234301544899
gdT,0.105814638359602
Cytotoxic CD8T,-0.0296084026957665
gdT,0.00624996628872176
gdT,-0.426845025350881
gdT,0.407695816394894
gdT,-0.560875410922738
Naive/CM T,-0.644239902939907
Naive/CM T,0.0291675478913062
Naive/CM T,-0.332700539522392
Cytotoxic CD8T,0.895257206406704
Naive/CM T,-0.678652173419331
gdT,-0.425433888102686
Cytotoxic CD8T,0.234824509731558
gdT,-0.408999117474223
Naive/CM T,0.352625452085982
Naive/CM T,0.0587367532419604
Cytotoxic CD8T,0.0713217269542605
Naive/CM T,-0.686507092852925
Cytotoxic CD8T,0.483985514086346
Naive/CM T,-0.228321728373682
Cytotoxic CD8T,0.868245856706486
Naive/CM T,-0.613666633783384
Cytotoxic CD8T,1.26906934161518
Cytotoxic CD8T,0.0273089706066042
Naive/CM T,0.0692139913869458
Naive/CM T,-0.0321414113599198
Cytotoxic CD8T,0.637228035150572
Cytotoxic CD8T,0.220123511026071
Cytotoxic CD8T,0.0790399276378541
Naive/CM T,0.143359541782112
Naive/CM T,-0.10918838146121
Naive/CM T,0.166077909247819
Cytotoxic CD8T,-0.610997962064521
Naive/CM T,0.274495782186818
Naive/CM T,0.386112848326217
Cytotoxic CD8T,0.188324088163154
Cytotoxic CD8T,0.16607463747956
Cytotoxic CD8T,-0.435893678886945
gdT,0.57029964003452
Naive/CM T,-0.370793260086414
Naive/CM T,0.223875608222429
Naive/CM T,-0.0661963848735011
Naive/CM T,-0.761045273182004
Naive/CM T,0.365548407976017
Naive/CM T,-0.0289853792412335
Naive/CM T,-0.475133251811182
Naive/CM T,-0.62409886293633
Cytotoxic CD8T,0.770683600847111
Naive/CM T,-0.148293677041696
Naive/CM T,-0.0280409648806549
Naive/CM T,-0.357152083640874
Naive/CM T,-0.54952002591865
Naive/CM T,0.961945971111918
Naive/CM T,-0.0985845840808956
Naive/CM T,-0.00840331676394434
Naive/CM T,-0.140807708030523
Cytotoxic CD8T,0.264058181407839
Naive/CM T,0.174776497774345
Naive/CM T,-0.00161548348360285
Naive/CM T,0.141011480287063
Naive/CM T,-0.260916499647983
Naive/CM T,0.398546174515125
Naive/CM T,-0.700289641091989
Cytotoxic CD8T,0.34659406085347
Naive/CM T,-0.224149255087209
Naive/CM T,-0.183387021796648
Naive/CM T,-0.897943503357643
Naive/CM T,0.388783125766488
Naive/CM T,0.0943527753963027
Naive/CM T,0.154900015897529
Naive/CM T,0.337566961244095
Naive/CM T,-0.134178516476653
Cytotoxic CD8T,-0.185698474617891
Naive/CM T,-0.277773235232331
Cytotoxic CD8T,0.571336354100426
Naive/CM T,0.222421733057776
Naive/CM T,0.269110228072765
Naive/CM T,-0.0522203631733739
Naive/CM T,-0.202541170342024
Cytotoxic CD8T,-0.17990367268407
Naive/CM T,-0.110541044723155
Naive/CM T,0.336015255950218
Naive/CM T,-0.322107774601426
Naive/CM T,0.0171129271041514
Naive/CM T,0.122821041373319
Naive/CM T,0.376797258244004
Cytotoxic CD8T,-0.148398973331894
Naive/CM T,0.382138803171556
Naive/CM T,0.090858725614326
gdT,-0.264812778206758
Naive/CM T,-0.258093573991642
Cytotoxic CD8T,0.30104804815248
Naive/CM T,0.145301063005314
Naive/CM T,0.386448488457258
Naive/CM T,0.0686349309876906
Naive/CM T,-0.16821768472361
Naive/CM T,-0.902493525660315
Naive/CM T,0.50472984136537
Naive/CM T,-1.00450715796892
Naive/CM T,0.570695094618686
Naive/CM T,-0.0379009548453397
Naive/CM T,0.239843618703442
Cytotoxic CD8T,0.405253136213435
Naive/CM T,-0.44533688922261
Cytotoxic CD8T,0.158993540919104
Cytotoxic CD8T,0.172289989382721
Cytotoxic CD8T,-0.494495324423146
Naive/CM T,-0.186837296596793
Naive/CM T,-0.439449356433957
Naive/CM T,-0.232650971523551
Naive/CM T,0.557075727595839
Naive/CM T,0.310845847906068
Naive/CM T,-0.142412265511446
gdT,-0.491794548921806
Naive/CM T,0.236815831383993
Naive/CM T,-0.421848964247592
Naive/CM T,0.340034101619276
gdT,0.0337583586227061
gdT,1.13078596248183
Naive/CM T,0.000625436472338147
Naive/CM T,-0.0212203908521075
Naive/CM T,-0.803920742301053
Naive/CM T,-0.00838193316792335
gdT,0.325327387965002
Naive/CM T,0.463374679920285
Cytotoxic CD8T,0.724159858171329
Cytotoxic CD8T,-0.121910201671511
Proliferating CD8T,1.85623430119004
Cytotoxic CD8T,-0.0413863709915516
Cytotoxic CD8T,0.131992372024891
Naive/CM T,-0.349615186646927
Cytotoxic CD8T,0.15888235934945
Naive/CM T,-0.452956153514773
Naive/CM T,0.0104810067110283
Naive/CM T,0.69671235195426
Naive/CM T,0.22787574235783
Cytotoxic CD8T,0.700518344613008
Naive/CM T,-0.638924132945925
Naive/CM T,-0.827880933894667
Naive/CM T,0.421927259578261
Naive/CM T,-0.47648747643759
gdT,0.999277485692223
gdT,-0.323366064027298
Naive/CM T,0.420884331991506
Naive/CM T,-0.510073460423669
Naive/CM T,-0.947520979060683
Cytotoxic CD8T,-0.312191676649936
Naive/CM T,-0.0920263920273892
Naive/CM T,0.400027755027593
Naive/CM T,-0.255090993836868
gdT,-0.427990353606468
Cytotoxic CD8T,-0.00485872667889264
gdT,-0.441973628554233
Naive/CM T,-0.104933086661405
Cytotoxic CD8T,-0.192534836170285
Naive/CM T,-0.204183099436205
Naive/CM T,0.681233392759811
Cytotoxic CD8T,0.605600894661836
Naive/CM T,-0.122480003889217
gdT,0.530163528087527
Naive/CM T,-0.353467668045398
Naive/CM T,-0.357254661737486
gdT,0.0178221378769986
Naive/CM T,-0.122805704516033
Naive/CM T,0.875857912995094
Naive/CM T,0.479792086579078
Naive/CM T,-0.647953920586164
Naive/CM T,-0.712339000258334
Naive/CM T,0.168139176479605
gdT,1.10832835707553
Naive/CM T,-0.0681295173112735
Naive/CM T,-0.136960087266079
Naive/CM T,-0.545658479734908
Naive/CM T,-0.0659030186852743
Naive/CM T,-0.327946548461914
Naive/CM T,-1.04588026889534
gdT,-0.426681390806686
gdT,0.129208020942155
Treg,-0.0560403371411701
gdT,-0.322603592983511
gdT,-0.239200435904569
Naive/CM T,0.771360399113145
Naive/CM T,-0.137361739402593
Naive/CM T,0.187146929363871
Cytotoxic CD8T,0.471659112974654
Naive/CM T,-0.274469679011855
Naive/CM T,-0.409675704601198
Naive/CM T,-0.246170095399368
Naive/CM T,-0.675448391936546
Naive/CM T,0.502173238355059
gdT,0.234565678086391
Naive/CM T,0.71586009180823
Naive/CM T,-0.0190861049918241
gdT,-0.156086012374523
Naive/CM T,-0.228527189742687
gdT,0.320894370855286
gdT,1.05574917105741
Naive/CM T,0.673130532198174
gdT,-0.2151357996741
Naive/CM T,-0.267435464193654
Naive/CM T,0.824999368357104
Naive/CM T,1.58989012252452
Cytotoxic CD8T,0.576771669609602
Naive/CM T,0.476353305550508
Naive/CM T,-0.0667111667366915
gdT,0.316582953874454
Naive/CM T,-0.475085951339366
Naive/CM T,0.194536409599836
Naive/CM T,-0.467837936046511
gdT,0.242645632721657
gdT,0.0720409127168877
Naive/CM T,-0.445288483375726
Naive/CM T,-0.109239081449286
Naive/CM T,0.619540848842887
Naive/CM T,0.63744010038154
Cytotoxic CD8T,-0.164583541515261
Naive/CM T,0.410143801666969
Naive/CM T,0.480985731967659
Cytotoxic CD8T,-0.822422105656113
Naive/CM T,0.166625994305277
Proliferating CD8T,1.03810822597769
Naive/CM T,0.142226608631222
Cytotoxic CD8T,0.540987477857013
Naive/CM T,0.16452887246775
Naive/CM T,-0.737586875738099
Cytotoxic CD8T,0.924744929823764
Naive/CM T,0.365718067967614
Naive/CM T,0.307357229188431
Naive/CM T,-0.433571979611419
Naive/CM T,0.251894619963889
Cytotoxic CD8T,-0.310735304189282
Naive/CM T,-0.967185177470362
Naive/CM T,-0.831520733500635
gdT,0.326312738462936
Naive/CM T,-0.438546764462493
Naive/CM T,-0.12906679730082599
Naive/CM T,-0.732487120517464
Naive/CM T,0.313108655352925
Naive/CM T,0.0344230190543242
Naive/CM T,-0.121924355085506
Cytotoxic CD8T,0.442964942399845
Naive/CM T,0.771471103402071
Naive/CM T,-0.23529529660247
Naive/CM T,-0.233832267938658
gdT,-0.57055737340173
Naive/CM T,0.00125974788222205
Naive/CM T,-0.83540720651316
Cytotoxic CD8T,0.351757716688998
Naive/CM T,-0.141651991023573
Cytotoxic CD8T,0.0721604848462484
Naive/CM T,-0.25990955441497
Naive/CM T,-0.157510475336119
Naive/CM T,-0.330167492711266
Naive/CM T,-0.11237374771473
Naive/CM T,-0.277918605360873
Naive/CM T,-0.1134873430119
gdT,-0.642532573966092
Naive/CM T,-0.714736737983171
Naive/CM T,-0.34235639172931
gdT,-0.432898616347202
Cytotoxic CD8T,0.252318604935047
Naive/CM T,-0.233894238139307
Naive/CM T,1.17480697631835
Naive/CM T,0.940468501601108
Naive/CM T,-0.429901838080827
Naive/CM T,0.113371408152025
Naive/CM T,-0.506620806316996
Naive/CM T,-0.888152187258698
Naive/CM T,-0.0611413254848745
gdT,-0.318952452193859
Naive/CM T,-0.557512655923532
Cytotoxic CD8T,0.350488167696221
Naive/CM T,-0.382649979702262
Naive/CM T,-0.253174406983131
Naive/CM T,0.0408275267135265
Cytotoxic CD8T,-0.452048091444858
gdT,0.103050352584484
Cytotoxic CD8T,0.414790589088617
gdT,-0.165372044762899
Cytotoxic CD8T,0.658109194733375
Naive/CM T,-0.285607952738917
Naive/CM T,0.255101089477539
Cytotoxic CD8T,0.345150554568268
Naive/CM T,0.408138229015261
Naive/CM T,0.0607289141277933
Cytotoxic CD8T,0.563788125681322
Naive/CM T,-0.663983708758687
Naive/CM T,-0.767798934315526
Naive/CM T,-0.190000148152196
Naive/CM T,-0.3563320727681
Naive/CM T,-0.342658400424691
Treg,0.180036755938862
gdT,0.272530879530795
Naive/CM T,-0.688953706608262
Naive/CM T,0.325627925784088
Cytotoxic CD8T,1.20952988380609
Naive/CM T,0.406665777162063
Naive/CM T,-0.386201764483784
Naive/CM T,-0.533047740847565
Naive/CM T,-0.310630541069562
Naive/CM T,0.0404243682151618
Naive/CM T,-0.443571001984352
Naive/CM T,-0.300330860226653
Naive/CM T,0.473003717466842
Cytotoxic CD8T,0.210045279569404
Naive/CM T,0.0398611485680868
Naive/CM T,0.289660325161246
Naive/CM T,0.6996338529365
gdT,-0.256690471560456
Cytotoxic CD8T,-0.391445678001226
Naive/CM T,-0.656651313249454
Naive/CM T,-0.716941728813703
Naive/CM T,-0.528756806129632
Naive/CM T,-0.128721902536791
Naive/CM T,-0.0124796029024345
Naive/CM T,-0.449373289596202
Naive/CM T,0.185003300156704
Naive/CM T,0.541994653746139
Cytotoxic CD8T,0.461983287722565
Cytotoxic CD8T,-0.188689034040584
Cytotoxic CD8T,0.233291693399118
Naive/CM T,0.167492019298464
Naive/CM T,-0.145617278343023
Naive/CM T,-0.496306663335755
Naive/CM T,0.0288761085687681
Naive/CM T,-0.114938815804415
Naive/CM T,-0.360191792332849
Naive/CM T,-0.0719051769167877
Naive/CM T,-0.73816097614377
gdT,-0.0753148952750273
Naive/CM T,0.586139309905296
Naive/CM T,-0.0606932493697764
Naive/CM T,-0.297531245032022
Cytotoxic CD8T,0.236045464804006
Naive/CM T,0.436176853623501
Naive/CM T,0.467430448310319
Cytotoxic CD8T,0.342597727221111
Treg,0.502892370889353
Proliferating CD8T,1.17878822504087
Cytotoxic CD8T,-0.108980578045512
gdT,-0.211811590860056
Naive/CM T,0.271382630813953
Naive/CM T,0.338462354083393
Naive/CM T,0.409395716467569
Cytotoxic CD8T,-0.283763166915538
Naive/CM T,-0.0112206765108329
Treg,0.356174497382585
Naive/CM T,0.145758847968522
Naive/CM T,-0.224734000272529
Naive/CM T,-0.18176549867142
Cytotoxic CD8T,-0.0788559350302053
Cytotoxic CD8T,-0.542582456012104
Naive/CM T,-0.406213027599245
Naive/CM T,-0.00133152806481651
Naive/CM T,-0.0759863618362781
Naive/CM T,-0.310332772898119
Naive/CM T,-0.657825553361759
gdT,0.402952419547147
Naive/CM T,0.195579447191815
gdT,0.00178087101426238
gdT,-0.664906931145246
Naive/CM T,-0.136510485272074
Naive/CM T,-0.109970755466195
Naive/CM T,-0.204020821327386
Naive/CM T,0.884589169524436
Cytotoxic CD8T,-0.0031536812006041
Naive/CM T,0.317549381699673
Naive/CM T,-0.0420302883414335
Naive/CM T,-0.218011487029319
gdT,-0.324167808710142
Naive/CM T,0.0725860915073128
Cytotoxic CD8T,1.29594093500181
Cytotoxic CD8T,0.349071804312772
Cytotoxic CD8T,-0.0832157685035883
gdT,0.461534494799236
gdT,0.558495671471884
gdT,0.644030332343522
gdT,-0.0657200622558593
Naive/CM T,-0.280885470190713
Naive/CM T,0.0678847202034884
Naive/CM T,0.72198715919672
